Project,Scenario,Dollar_year,Weather_year,Start_day,country
Cambium_2022,MidCase,2021$,2012,Sunday,usa
Metric definitions and scenario descriptions: 2022 Cambium Documentation (https://www.nrel.gov/docs/fy23osti/84916.pdf)
Geography,Time,Time,Time,Load,Load,Transmission,Transmission,Operational,Operational,Clean Energy Fraction,Clean Energy Fraction,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation
MROEc,CT,2024,4,1198917.8,1146225.4,1121263.4,1142260.0,0.0332,0.0457,0.52,0.68,233.2,11.7,1.57,24.9,992.4,0.18,234.0,54.5,288.5,209.5,16.0,2.25,17.8,720.2,0.17,210.6,39.3,249.9,505.6,37.4,5.27,34.5,1753.8,0.24,508.1,86.9,595.0,845.1,83.1,11.96,39.3,2285.5,0.42,850.8,107.5,958.3,24.72,0.0,0.0,24.72,25.92,0.0,0.0,25.92,1221463.4
MROEc,CT,2024,5,1288668.6,1232423.6,1049177.2,1102290.1,0.0343,0.0493,0.54,0.68,228.2,11.8,1.59,23.7,959.7,0.17,229.0,52.4,281.4,210.7,16.0,2.26,17.7,725.2,0.17,211.8,39.4,251.1,355.9,24.9,3.48,25.7,1278.8,0.17,357.6,63.8,421.5,802.9,74.5,10.7,41.6,2292.7,0.41,808.1,110.1,918.1,26.2,0.0,0.0,26.2,27.58,0.0,0.0,27.58,1342964.5
MROEc,CT,2024,6,1367246.1,1308324.7,901720.8,1035109.4,0.0353,0.0525,0.57,0.68,212.6,11.2,1.51,21.8,887.8,0.16,213.3,48.3,261.6,205.4,15.2,2.14,17.5,719.7,0.16,206.4,39.0,245.4,225.3,15.4,2.15,16.6,820.8,0.11,226.3,41.1,267.5,776.9,68.9,9.88,43.2,2307.6,0.4,781.6,112.1,893.7,27.12,0.0,0.0,27.12,28.65,0.0,0.0,28.65,1501303.9
MROEc,CT,2024,7,1417389.4,1356347.8,802067.0,1040592.6,0.036,0.0545,0.61,0.69,196.8,10.3,1.39,20.2,823.2,0.14,197.4,44.8,242.2,195.5,14.0,1.97,17.0,698.1,0.15,196.4,37.8,234.3,99.6,5.7,0.79,8.3,395.1,0.05,100.0,20.1,120.1,800.9,72.7,10.44,42.8,2335.7,0.41,805.9,112.5,918.4,26.8,0.0,0.0,26.8,28.37,0.0,0.0,28.37,1656334.6
MROEc,CT,2024,8,1456267.6,1392930.4,770312.0,1080441.9,0.0365,0.0561,0.62,0.69,191.4,10.2,1.38,19.4,796.5,0.14,192.1,43.2,235.3,193.3,13.9,1.95,16.7,689.1,0.15,194.2,37.3,231.5,49.6,2.4,0.33,4.5,209.1,0.02,49.8,10.8,60.5,784.6,69.0,9.89,44.0,2352.7,0.4,789.3,114.2,903.5,27.22,0.0,0.0,27.22,28.86,0.0,0.0,28.86,1766927.8
MROEc,CT,2024,9,1482898.0,1418303.0,738408.0,1056618.1,0.037,0.0573,0.61,0.68,196.2,10.6,1.44,19.6,810.2,0.14,196.9,43.8,240.7,199.0,14.4,2.02,17.0,707.3,0.15,200.0,38.1,238.1,42.3,2.1,0.28,3.9,179.2,0.02,42.4,9.2,51.7,773.7,65.9,9.45,45.7,2359.0,0.41,778.3,116.1,894.4,28.13,0.0,0.0,28.13,29.87,0.0,0.0,29.87,1801526.6
MROEc,CT,2024,10,1499646.7,1433995.2,737739.0,1054792.9,0.0373,0.0581,0.6,0.67,203.3,11.2,1.52,20.0,832.9,0.14,204.1,44.9,249.0,206.3,14.9,2.1,17.4,731.8,0.15,207.4,39.3,246.7,38.9,1.9,0.26,3.5,163.3,0.02,39.0,8.4,47.4,814.9,70.3,10.13,47.8,2422.0,0.46,819.8,120.1,939.9,29.14,1.84,0.0,30.98,30.98,2.0,0.0,32.98,1817069.6
MROEc,CT,2024,11,1510582.8,1444136.9,738231.5,1051123.9,0.0375,0.0588,0.6,0.67,206.9,11.4,1.54,20.4,847.7,0.14,207.7,45.7,253.3,210.3,15.1,2.13,17.8,747.8,0.16,211.3,40.1,251.4,37.5,1.9,0.25,3.4,157.9,0.02,37.6,8.1,45.7,840.6,72.9,10.53,49.2,2467.3,0.49,845.7,122.8,968.5,29.92,4.77,0.0,34.69,31.85,5.18,0.0,37.03,1823932.4
MROEc,CT,2024,12,1515350.7,1448346.6,740706.0,1065997.6,0.0377,0.0592,0.6,0.67,207.0,11.3,1.53,20.4,849.4,0.14,207.7,45.8,253.5,211.6,15.2,2.13,18.0,754.3,0.16,212.7,40.5,253.1,38.4,1.9,0.25,3.5,163.0,0.02,38.5,8.4,46.9,799.6,64.0,9.22,52.1,2486.6,0.48,804.1,126.3,930.4,30.41,7.67,0.0,38.08,32.39,8.35,0.0,40.74,1841048.0
MROEc,CT,2024,13,1511193.3,1443739.3,782030.7,1118859.1,0.0378,0.0592,0.6,0.67,206.1,11.2,1.52,20.4,847.3,0.14,206.8,45.7,252.5,211.5,15.3,2.15,17.8,749.4,0.16,212.6,40.2,252.8,41.1,2.0,0.27,3.7,173.0,0.02,41.2,8.9,50.1,856.7,71.1,10.36,54.7,2500.6,0.58,861.6,129.3,991.0,30.84,10.04,0.0,40.88,32.86,10.94,0.0,43.8,1848358.6
MROEc,CT,2024,14,1508441.3,1440556.7,826380.8,1155157.5,0.0378,0.0592,0.59,0.67,212.0,11.6,1.58,20.8,867.3,0.15,212.7,46.7,259.4,217.0,15.8,2.23,18.1,762.9,0.16,218.1,40.9,258.9,47.3,2.3,0.31,4.3,199.8,0.02,47.5,10.3,57.8,844.2,69.1,10.04,54.4,2519.1,0.55,849.0,129.6,978.6,31.29,11.79,0.0,43.08,33.34,12.86,0.0,46.2,1837398.8
MROEc,CT,2024,15,1512429.3,1443995.5,888066.6,1143753.1,0.0378,0.0593,0.56,0.65,231.3,12.9,1.76,22.4,937.5,0.16,232.2,50.4,282.5,234.8,17.5,2.48,19.0,811.4,0.17,236.0,43.2,279.2,109.7,6.8,0.95,8.7,417.7,0.05,110.2,21.2,131.4,831.4,63.4,9.18,57.9,2613.7,0.55,835.8,136.0,971.8,32.53,13.95,0.0,46.49,34.67,15.21,0.0,49.89,1767926.2
MROEc,CT,2024,16,1531661.5,1462777.1,907696.9,1048059.4,0.038,0.0598,0.52,0.61,258.7,14.6,2.0,24.7,1041.7,0.18,259.7,55.8,315.5,259.1,19.4,2.74,20.7,893.0,0.18,260.5,47.4,307.8,234.6,15.6,2.19,17.8,855.7,0.12,235.7,43.3,279.0,823.7,57.0,8.29,63.5,2701.5,0.59,827.7,144.2,971.9,36.94,15.55,0.0,52.49,39.38,16.93,0.0,56.32,1671454.0
MROEc,CT,2024,17,1546926.5,1478596.1,888237.8,902030.2,0.038,0.0601,0.47,0.58,285.5,16.1,2.21,27.2,1148.7,0.19,286.5,61.5,348.0,279.5,20.6,2.9,22.5,972.5,0.2,280.9,51.5,332.4,361.8,23.2,3.25,28.5,1332.8,0.2,363.4,68.2,431.7,794.8,36.7,5.55,82.3,2856.3,0.79,797.4,167.6,965.0,50.23,17.25,0.0,67.48,53.56,18.74,0.0,72.31,1560027.4
MROEc,CT,2024,18,1536464.0,1469441.2,893331.1,838910.9,0.0377,0.0594,0.44,0.56,298.6,16.9,2.32,28.4,1199.3,0.2,299.8,64.2,363.9,291.7,21.6,3.05,23.3,1010.1,0.2,293.1,53.4,346.6,459.7,26.8,3.75,38.8,1758.0,0.26,461.5,91.2,552.7,816.7,49.3,7.26,71.4,2765.8,0.68,820.2,154.0,974.2,40.45,9.75,0.0,50.2,43.04,10.58,0.0,53.62,1481542.6
MROEc,CT,2024,19,1507587.3,1440783.1,1012386.2,960349.7,0.0372,0.0581,0.45,0.58,294.1,16.9,2.32,27.8,1176.6,0.2,295.2,62.9,358.1,285.8,22.2,3.15,22.0,961.4,0.2,287.3,50.7,338.0,493.9,28.9,4.04,41.4,1893.2,0.28,495.9,97.9,593.8,785.8,52.1,7.57,62.8,2636.7,0.57,789.4,141.5,930.9,33.98,4.27,0.0,38.25,36.12,4.63,0.0,40.74,1455036.5
MROEc,CT,2024,20,1440123.6,1376093.5,1085264.0,1075238.0,0.0363,0.0554,0.46,0.6,285.9,16.4,2.24,27.2,1148.4,0.19,287.0,61.5,348.5,272.9,21.6,3.06,20.8,908.0,0.19,274.4,47.9,322.4,483.2,30.9,4.32,37.9,1794.7,0.26,485.3,91.5,576.8,841.6,67.2,9.79,56.2,2524.9,0.58,846.3,131.6,977.9,31.34,1.54,0.0,32.88,33.22,1.66,0.0,34.88,1429700.2
MROEc,CT,2024,21,1340849.1,1281428.4,1134526.9,1163015.5,0.035,0.0515,0.47,0.63,269.4,14.7,2.0,26.6,1107.2,0.19,270.4,59.7,330.1,250.8,19.8,2.8,19.6,838.5,0.19,252.1,44.7,296.8,517.9,36.1,5.07,37.6,1848.6,0.26,520.4,92.8,613.1,842.3,76.3,11.06,46.3,2369.2,0.49,847.5,117.0,964.5,28.72,0.09,0.0,28.81,30.31,0.09,0.0,30.4,1369294.6
MROEc,CT,2024,22,1247476.0,1192416.2,1147113.9,1182868.4,0.0338,0.0478,0.49,0.66,250.4,13.0,1.75,25.9,1052.1,0.18,251.2,57.3,308.5,227.1,17.6,2.48,18.6,771.7,0.18,228.3,41.7,270.0,536.5,38.3,5.38,37.9,1900.1,0.26,539.1,94.6,633.7,830.1,77.7,11.18,42.1,2348.3,0.42,835.5,112.2,947.7,26.66,0.0,0.0,26.66,28.02,0.0,0.0,28.02,1283681.1
MROEc,CT,2024,23,1180188.6,1128164.2,1147236.6,1188063.4,0.033,0.0451,0.52,0.68,236.0,11.8,1.58,25.2,1007.0,0.18,236.8,55.3,292.0,210.2,16.0,2.25,17.9,723.6,0.17,211.3,39.5,250.8,553.2,40.4,5.68,38.3,1935.4,0.27,555.9,96.0,651.9,845.0,81.4,11.72,40.6,2334.0,0.42,850.6,110.3,960.9,25.23,0.0,0.0,25.23,26.44,0.0,0.0,26.44,1222342.5
MROEc,CT,2026,0,1203554.8,1099641.6,1253736.1,1190953.2,0.0325,0.0431,0.55,0.73,215.4,10.6,1.42,23.8,925.6,0.17,216.1,51.4,267.4,169.0,12.6,1.78,15.3,590.9,0.15,169.9,33.0,202.9,398.0,22.2,3.03,34.0,1610.4,0.19,399.5,82.0,481.5,782.7,72.0,10.32,40.5,2278.9,0.38,787.6,108.6,896.2,23.82,0.0,0.0,23.82,24.96,0.0,0.0,24.96,1141549.8
MROEc,CT,2026,1,1201263.8,1076122.4,1250554.4,1174563.5,0.0323,0.0421,0.56,0.74,212.7,10.4,1.39,23.6,915.6,0.17,213.4,50.9,264.4,166.2,12.3,1.73,15.2,583.9,0.15,167.0,32.7,199.7,395.8,22.0,3.0,33.9,1603.6,0.19,397.3,81.7,479.0,744.1,66.3,9.48,40.7,2226.9,0.36,748.6,107.2,855.8,23.51,0.0,0.0,23.51,24.59,0.0,0.0,24.59,1126111.1
MROEc,CT,2026,2,1201924.8,1071027.1,1233941.4,1154210.1,0.0322,0.0419,0.56,0.74,212.6,10.4,1.39,23.7,916.3,0.17,213.2,51.0,264.2,166.2,12.2,1.72,15.3,586.9,0.15,167.0,32.8,199.8,395.7,22.1,3.02,33.8,1600.0,0.19,397.2,81.5,478.8,748.1,67.6,9.66,40.0,2219.4,0.36,752.8,106.2,859.0,23.39,0.0,0.0,23.39,24.46,0.0,0.0,24.46,1122990.6
MROEc,CT,2026,3,1207279.5,1096837.6,1220268.8,1145811.9,0.0324,0.0429,0.55,0.73,215.1,10.5,1.4,23.9,928.6,0.18,215.8,51.6,267.4,167.9,12.3,1.72,15.5,596.0,0.15,168.8,33.3,202.1,397.9,22.5,3.06,33.8,1602.4,0.19,399.4,81.6,481.0,827.8,80.2,11.55,39.5,2272.0,0.41,833.3,107.3,940.6,23.56,0.0,0.0,23.56,24.65,0.0,0.0,24.65,1133689.9
MROEc,CT,2026,4,1238469.0,1159504.3,1208063.8,1175294.1,0.0331,0.0454,0.55,0.72,217.7,10.8,1.45,23.6,931.5,0.17,218.4,51.4,269.9,174.0,12.8,1.8,15.7,614.0,0.15,174.9,34.1,209.0,360.3,20.3,2.77,30.6,1452.6,0.17,361.6,74.0,435.6,791.1,74.2,10.64,39.8,2261.3,0.38,796.2,107.3,903.5,24.23,0.0,0.0,24.23,25.43,0.0,0.0,25.43,1206578.5
MROEc,CT,2026,5,1338928.2,1247463.0,1171469.0,1225813.2,0.0342,0.0491,0.59,0.73,199.5,10.3,1.39,21.1,840.5,0.15,200.2,46.2,246.4,167.7,12.3,1.72,15.0,593.7,0.14,168.5,32.7,201.3,265.5,14.5,1.97,23.0,1083.7,0.13,266.5,55.3,321.8,740.5,65.7,9.38,41.0,2229.1,0.37,745.0,107.5,852.5,25.11,0.0,0.0,25.11,26.54,0.0,0.0,26.54,1394289.5
MROEc,CT,2026,6,1428680.4,1325808.0,1151512.6,1369801.2,0.0352,0.0523,0.66,0.75,168.1,8.8,1.19,17.7,704.8,0.13,168.6,38.7,207.3,153.3,11.0,1.54,13.8,549.2,0.13,154.0,30.2,184.2,180.5,9.5,1.29,15.9,746.2,0.09,181.1,38.2,219.3,713.0,62.6,8.96,40.5,2154.2,0.37,717.3,104.8,822.1,24.42,0.0,0.0,24.42,25.95,0.0,0.0,25.95,1647514.8
MROEc,CT,2026,7,1475210.0,1376256.8,1222396.4,1628752.6,0.0359,0.0544,0.71,0.78,142.1,7.3,0.98,15.2,600.4,0.11,142.6,33.1,175.6,132.2,9.2,1.29,12.3,482.4,0.11,132.8,26.7,159.5,87.4,3.3,0.42,8.9,402.1,0.04,87.6,20.9,108.5,712.8,62.1,8.88,40.7,2164.2,0.37,717.1,105.3,822.4,23.75,0.0,0.0,23.75,25.27,0.0,0.0,25.27,1881796.2
MROEc,CT,2026,8,1514484.9,1413940.5,1327255.4,1862032.4,0.0365,0.056,0.73,0.8,129.7,6.5,0.88,14.0,551.8,0.1,130.2,30.4,160.6,118.8,8.3,1.16,11.1,433.4,0.1,119.4,24.0,143.4,49.7,1.4,0.17,5.5,243.6,0.02,49.8,12.8,62.5,744.5,67.4,9.64,39.9,2204.9,0.37,749.1,105.7,854.8,23.94,0.0,0.0,23.94,25.49,0.0,0.0,25.49,2050016.6
MROEc,CT,2026,9,1529916.2,1439908.4,1334976.9,1896268.0,0.0369,0.0572,0.73,0.8,132.2,6.8,0.91,14.1,559.7,0.1,132.6,30.8,163.4,121.5,8.5,1.2,11.2,441.0,0.1,122.1,24.3,146.4,44.3,1.2,0.14,4.9,217.8,0.02,44.4,11.4,55.8,747.0,65.9,9.43,41.8,2246.4,0.38,751.5,108.8,860.3,24.67,0.0,0.0,24.67,26.27,0.0,0.0,26.27,2092089.6
MROEc,CT,2026,10,1539360.6,1456968.6,1304557.2,1861076.4,0.0372,0.058,0.72,0.79,137.7,7.1,0.96,14.4,579.2,0.1,138.2,31.7,169.9,127.6,9.0,1.26,11.6,462.7,0.1,128.2,25.4,153.6,42.0,1.1,0.13,4.7,207.6,0.02,42.1,10.9,53.0,763.6,66.9,9.6,43.3,2283.7,0.4,768.2,111.5,879.7,25.6,1.56,0.0,27.16,27.26,1.71,0.0,28.98,2096931.4
MROEc,CT,2026,11,1551204.7,1468819.5,1290697.2,1840003.8,0.0375,0.0587,0.71,0.79,141.1,7.3,0.99,14.7,592.6,0.11,141.6,32.4,174.0,131.2,9.2,1.29,11.8,475.9,0.11,131.9,26.1,157.9,41.4,1.1,0.13,4.7,205.2,0.02,41.4,10.8,52.2,766.9,65.7,9.44,45.3,2311.7,0.42,771.4,114.3,885.7,26.29,7.38,0.0,33.67,28.01,8.09,0.0,36.1,2101579.8
MROEc,CT,2026,12,1569490.4,1474538.0,1303680.4,1860027.6,0.0377,0.0592,0.72,0.79,141.4,7.4,1.0,14.7,591.9,0.11,141.9,32.3,174.3,132.4,9.4,1.32,11.8,475.8,0.11,133.1,26.0,159.1,40.3,1.0,0.12,4.5,199.8,0.02,40.3,10.5,50.8,756.1,62.9,9.07,47.0,2291.2,0.45,760.5,115.4,875.9,26.63,11.79,0.0,38.41,28.44,13.02,0.0,41.47,2126865.8
MROEc,CT,2026,13,1572306.9,1470043.5,1343359.2,1911752.8,0.0378,0.0592,0.72,0.79,142.1,7.5,1.02,14.7,592.2,0.11,142.6,32.3,174.9,133.4,9.6,1.35,11.7,475.1,0.11,134.0,25.9,160.0,40.5,1.1,0.13,4.5,199.3,0.02,40.5,10.5,51.0,769.4,64.2,9.24,47.4,2343.7,0.45,773.8,117.4,891.2,26.97,14.38,0.0,41.34,28.84,15.97,0.0,44.81,2141624.2
MROEc,CT,2026,14,1564947.0,1467890.8,1383529.6,1934330.6,0.0378,0.0593,0.71,0.78,148.1,7.8,1.06,15.2,617.1,0.11,148.7,33.6,182.3,138.9,10.1,1.42,12.1,490.8,0.11,139.6,26.7,166.3,45.1,1.3,0.15,5.0,220.9,0.02,45.1,11.6,56.7,771.9,62.2,8.91,49.3,2439.1,0.43,776.2,122.1,898.3,27.67,16.73,0.0,44.4,29.59,18.54,0.0,48.12,2116285.0
MROEc,CT,2026,15,1553738.5,1474379.3,1365641.4,1823597.6,0.0379,0.0595,0.66,0.74,177.0,9.9,1.34,17.4,721.1,0.13,177.7,39.0,216.6,167.2,12.6,1.78,13.8,577.0,0.13,168.1,31.1,199.1,96.0,4.2,0.56,9.2,421.7,0.05,96.2,21.8,118.0,791.3,64.7,9.31,49.9,2446.8,0.46,795.7,122.9,918.7,29.27,22.56,0.0,51.83,31.23,24.68,0.0,55.91,2011305.0
MROEc,CT,2026,16,1571948.0,1497219.6,1240564.1,1564033.9,0.0381,0.0602,0.6,0.7,210.5,11.9,1.63,20.3,849.7,0.15,211.3,45.6,256.9,200.3,15.0,2.11,16.5,694.1,0.15,201.3,37.3,238.6,183.5,9.8,1.34,16.0,748.9,0.09,184.2,38.4,222.6,833.7,60.9,8.95,62.2,2573.4,0.64,838.0,139.1,977.0,33.26,32.29,0.0,65.55,35.46,35.14,0.0,70.6,1894991.0
MROEc,CT,2026,17,1587792.9,1515410.7,1084111.9,1214774.6,0.0382,0.0606,0.54,0.65,244.7,13.6,1.86,23.6,992.4,0.17,245.6,53.3,298.9,228.8,16.6,2.33,19.3,808.6,0.17,229.9,43.4,273.3,271.9,14.7,2.02,23.7,1097.4,0.14,272.9,56.4,329.3,780.4,34.9,5.14,80.2,2957.5,0.69,782.8,168.5,951.3,52.07,52.42,0.0,104.49,55.54,56.89,0.0,112.43,1717895.4
MROEc,CT,2026,18,1571850.3,1502838.1,942925.3,946351.8,0.0378,0.0597,0.5,0.62,267.7,15.1,2.06,25.7,1081.4,0.18,268.7,58.0,326.7,248.4,17.7,2.49,21.1,884.5,0.19,249.6,47.5,297.1,343.2,16.9,2.31,31.6,1423.1,0.18,344.3,74.1,418.4,753.5,40.1,5.79,70.0,2784.6,0.58,756.3,153.1,909.4,42.12,47.47,0.0,89.6,44.84,51.44,0.0,96.28,1574973.5
MROEc,CT,2026,19,1536229.8,1468091.7,1046018.8,1045049.3,0.0372,0.0582,0.49,0.63,266.2,15.2,2.09,25.4,1069.1,0.18,267.2,57.3,324.4,244.6,18.3,2.59,20.1,846.6,0.18,245.9,45.4,291.2,371.3,18.5,2.52,34.1,1536.6,0.2,372.5,79.9,452.4,780.5,54.1,7.82,59.7,2597.6,0.53,784.3,137.2,921.5,32.4,21.68,0.0,54.08,34.44,23.46,0.0,57.9,1534771.1
MROEc,CT,2026,20,1465478.0,1400150.5,1137207.4,1135595.4,0.0363,0.0554,0.49,0.64,265.4,15.1,2.06,25.6,1072.6,0.18,266.4,57.6,323.9,234.5,18.0,2.55,18.9,798.6,0.18,235.7,42.8,278.5,365.7,20.3,2.79,31.5,1461.0,0.19,367.0,75.1,442.1,812.6,66.4,9.62,52.0,2455.8,0.51,817.2,125.3,942.5,30.3,11.34,0.0,41.65,32.12,12.25,0.0,44.37,1463537.6
MROEc,CT,2026,21,1362965.9,1302370.8,1201210.4,1190564.4,0.0349,0.0514,0.49,0.67,258.0,14.0,1.89,25.8,1066.2,0.18,259.0,57.6,316.6,216.7,16.6,2.35,17.8,740.5,0.17,217.8,39.9,257.8,402.7,24.5,3.39,32.5,1555.4,0.2,404.4,78.9,483.3,835.9,77.1,11.08,43.6,2396.1,0.43,841.2,115.1,956.3,28.13,2.16,0.0,30.29,29.68,2.32,0.0,32.0,1352155.9
MROEc,CT,2026,22,1272857.6,1210367.5,1219010.1,1201008.4,0.0338,0.0477,0.51,0.7,238.8,12.2,1.65,25.1,1009.4,0.18,239.6,55.2,294.8,192.7,14.5,2.04,16.7,670.0,0.16,193.7,36.7,230.4,410.8,24.5,3.37,33.6,1608.8,0.2,412.4,81.6,494.0,811.9,74.7,10.75,42.6,2324.1,0.42,817.0,111.9,929.0,26.05,0.0,0.0,26.05,27.38,0.0,0.0,27.38,1255114.9
MROEc,CT,2026,23,1215474.6,1143980.7,1227764.0,1193805.2,0.033,0.0449,0.54,0.72,223.2,11.1,1.48,24.3,956.2,0.18,223.9,52.8,276.7,176.5,13.1,1.85,15.9,618.6,0.15,177.4,34.3,211.8,406.5,23.3,3.19,34.1,1624.3,0.19,408.0,82.5,490.6,766.0,68.3,9.8,42.0,2269.6,0.39,770.7,109.8,880.5,24.58,0.0,0.0,24.58,25.78,0.0,0.0,25.78,1182525.4
MROEc,CT,2028,0,1227747.4,1116222.4,1505257.4,1246631.6,0.0324,0.0428,0.63,0.82,165.3,6.6,0.85,21.0,761.6,0.16,165.7,43.7,209.4,105.9,6.9,0.95,11.7,405.7,0.11,106.4,23.8,130.2,272.9,7.1,0.82,30.9,1363.8,0.13,273.3,71.5,344.8,494.3,42.5,6.07,29.7,1526.4,0.27,497.3,75.3,572.5,16.14,0.0,0.0,16.14,17.18,0.0,0.0,17.18,970002.7
MROEc,CT,2028,1,1216786.3,1091024.3,1496476.8,1233617.9,0.0322,0.0417,0.63,0.82,163.8,6.5,0.84,20.9,755.4,0.16,164.3,43.4,207.7,103.8,6.7,0.93,11.6,399.4,0.11,104.3,23.5,127.8,272.0,7.2,0.83,30.7,1356.9,0.13,272.4,71.2,343.6,449.2,36.2,5.14,29.4,1461.5,0.25,451.7,73.0,524.7,15.51,0.0,0.0,15.51,16.52,0.0,0.0,16.52,954901.2
MROEc,CT,2028,2,1212751.5,1085323.6,1473641.2,1209306.1,0.0321,0.0415,0.63,0.82,163.7,6.5,0.84,20.9,753.9,0.16,164.1,43.4,207.5,103.8,6.6,0.92,11.6,400.7,0.11,104.3,23.6,127.8,273.8,7.3,0.85,30.8,1363.1,0.13,274.3,71.5,345.8,469.4,41.6,5.94,27.3,1421.7,0.26,472.3,69.7,541.9,15.33,0.0,0.0,15.33,16.3,0.0,0.0,16.3,949397.9
MROEc,CT,2028,3,1213630.1,1111501.9,1457503.5,1202253.9,0.0323,0.0425,0.63,0.81,165.7,6.6,0.85,21.1,764.0,0.16,166.1,43.9,210.0,105.5,6.7,0.92,11.8,408.8,0.11,105.9,24.0,130.0,276.7,7.3,0.84,31.2,1380.0,0.13,277.1,72.4,349.5,467.7,40.4,5.75,28.0,1449.5,0.26,470.4,71.3,541.8,15.52,0.0,0.0,15.52,16.5,0.0,0.0,16.5,959497.4
MROEc,CT,2028,4,1257079.3,1174467.1,1447027.2,1214294.8,0.033,0.045,0.63,0.81,163.3,6.5,0.84,20.5,751.4,0.15,163.7,42.9,206.7,107.1,6.8,0.94,11.9,414.3,0.11,107.5,24.2,131.7,266.2,7.6,0.9,29.5,1310.1,0.12,266.7,68.6,335.3,504.8,43.8,6.25,29.9,1552.1,0.28,507.8,76.3,584.1,16.56,0.0,0.0,16.56,17.58,0.0,0.0,17.58,1025530.7
MROEc,CT,2028,5,1356249.1,1264885.3,1421069.1,1282514.2,0.034,0.0487,0.68,0.82,143.3,6.0,0.78,17.7,652.0,0.13,143.7,37.1,180.9,100.7,6.3,0.88,11.2,391.7,0.11,101.1,22.9,124.0,209.6,5.5,0.63,23.7,1046.8,0.1,210.0,54.9,264.9,510.3,41.7,5.92,32.5,1654.3,0.27,513.2,81.9,595.1,17.96,0.0,0.0,17.96,19.04,0.0,0.0,19.04,1218747.8
MROEc,CT,2028,6,1454617.0,1346950.8,1390979.9,1409071.5,0.0351,0.052,0.74,0.84,116.2,4.9,0.64,14.3,526.6,0.11,116.6,30.0,146.6,91.1,5.5,0.76,10.2,359.6,0.1,91.4,21.0,112.4,159.1,3.9,0.45,18.1,799.7,0.07,159.4,42.0,201.3,482.9,39.3,5.57,31.7,1568.1,0.28,485.6,78.5,564.0,17.71,0.0,0.0,17.71,18.87,0.0,0.0,18.87,1473218.0
MROEc,CT,2028,7,1521110.1,1401433.9,1422007.8,1594932.4,0.0358,0.0542,0.79,0.86,94.2,3.9,0.5,11.9,430.6,0.09,94.5,24.8,119.2,77.9,4.6,0.63,9.0,312.8,0.08,78.2,18.3,96.5,111.5,2.8,0.32,12.7,559.0,0.05,111.6,29.4,141.0,445.9,34.5,4.86,30.9,1510.8,0.25,448.3,76.0,524.2,16.72,0.0,0.0,16.72,17.87,0.0,0.0,17.87,1693919.2
MROEc,CT,2028,8,1567747.8,1440846.7,1498991.0,1789874.8,0.0364,0.0558,0.81,0.87,84.7,3.4,0.44,10.8,388.6,0.08,84.9,22.4,107.3,69.7,4.1,0.57,8.1,279.1,0.08,70.0,16.4,86.4,82.0,2.1,0.25,9.3,407.0,0.04,82.1,21.4,103.5,483.3,38.9,5.51,31.8,1587.6,0.27,485.9,79.1,565.1,16.96,0.0,0.0,16.96,18.13,0.0,0.0,18.13,1859043.0
MROEc,CT,2028,9,1580809.3,1467709.9,1499529.1,1812327.4,0.0368,0.057,0.81,0.87,86.5,3.6,0.46,10.9,395.3,0.08,86.8,22.7,109.5,71.5,4.3,0.59,8.2,285.4,0.08,71.8,16.7,88.5,74.6,2.0,0.24,8.4,368.4,0.04,74.8,19.4,94.2,535.9,46.1,6.57,32.2,1666.3,0.29,539.0,81.9,620.9,17.86,0.0,0.0,17.86,19.1,0.0,0.0,19.1,1894171.6
MROEc,CT,2028,10,1584248.3,1486992.9,1489700.6,1807396.4,0.0372,0.0579,0.8,0.86,92.0,3.9,0.5,11.3,417.4,0.09,92.3,23.8,116.1,76.9,4.6,0.64,8.6,305.0,0.08,77.2,17.7,94.9,72.0,1.9,0.22,8.1,356.1,0.04,72.1,18.8,90.9,532.1,43.4,6.15,34.0,1729.4,0.29,535.1,85.7,620.7,18.7,0.91,0.0,19.62,20.0,1.01,0.0,21.01,1902650.2
MROEc,CT,2028,11,1602036.7,1501790.2,1476127.2,1781081.8,0.0375,0.0587,0.79,0.86,95.0,4.1,0.53,11.6,428.0,0.09,95.3,24.3,119.6,80.7,4.9,0.68,8.8,318.4,0.08,81.1,18.3,99.4,72.8,2.0,0.24,8.2,357.8,0.04,73.0,18.9,91.8,564.9,48.4,6.89,34.0,1763.5,0.3,568.2,86.7,654.9,19.37,5.85,0.0,25.22,20.75,6.48,0.0,27.22,1907800.4
MROEc,CT,2028,12,1621218.7,1510079.9,1477044.6,1789729.2,0.0377,0.0592,0.79,0.85,96.9,4.3,0.56,11.6,432.4,0.09,97.2,24.5,121.7,83.1,5.2,0.71,8.9,323.8,0.08,83.4,18.6,102.0,71.7,1.9,0.23,8.1,353.5,0.04,71.8,18.6,90.4,579.8,49.2,7.03,35.3,1804.0,0.32,583.1,89.1,672.2,19.67,9.21,0.0,28.88,21.12,10.27,0.0,31.39,1934675.8
